CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
15605215,Stevenson,767,France,Male,48,9,0.0,2,0,1,175458.21
15567855,Chukwufumnanya,623,France,Female,29,1,0.0,2,0,0,39382.06
15780256,Palfreyman,630,France,Male,34,9,0.0,2,1,1,114006.35
15592229,Mullan,713,France,Female,52,0,185891.54,1,1,1,46369.57
15788683,Kang,588,Germany,Female,34,10,129417.82,1,1,0,153727.32
15693203,Powell,710,Spain,Female,75,5,0.0,2,1,1,9376.89
15635125,Findlay,566,Spain,Male,63,2,120787.18,2,1,1,52198.84
15582129,Hsia,517,France,Male,62,1,43772.66,3,1,0,187756.24
15703482,Walker,710,Germany,Male,34,9,134260.36,2,1,0,147074.67
15670738,Mazzanti,733,Germany,Male,45,2,113939.36,2,1,0,3218.71
15624775,Onyeoruru,729,France,Male,67,2,94203.8,1,0,1,102391.06
15741094,Sagese,693,France,Male,21,1,0.0,2,1,1,3494.02
15687828,Gorshkov,644,Spain,Female,31,5,86006.3,1,1,1,73922.95
15661708,She,508,France,Female,41,5,0.0,2,1,1,94170.84
15790497,Ross,503,Spain,Male,37,6,0.0,2,0,0,136506.86
15620103,Ho,660,France,Female,40,8,167181.01,1,1,1,185156.94
15586680,Fleming,462,France,Male,27,4,176913.52,1,1,0,80587.27
15749557,Chao,707,France,Female,44,6,0.0,2,1,1,192542.17
15622443,Marshall,549,France,Male,31,4,0.0,2,0,1,25684.85
15745533,Sargent,799,France,Female,63,1,110314.21,2,1,0,37464.0
15691647,McGregor,411,France,Female,35,2,0.0,2,1,1,93825.78
15599289,Yeh,724,France,Female,37,10,68598.56,1,1,0,157862.82
15766826,North,824,France,Male,26,7,146266.0,1,1,0,21903.62
15643523,Power,710,Spain,Female,30,10,0.0,2,1,0,19500.1
15720637,Bell,710,Germany,Female,46,10,120530.34,1,1,0,166586.99
15693947,Tokareva,614,France,Female,19,5,97445.49,2,1,0,122823.34
15726556,Macgroarty,594,Germany,Female,26,6,135067.52,2,0,0,131211.86
15591257,Ejimofor,796,France,Male,24,8,0.0,2,1,0,61349.37
15792473,Reilly,598,Germany,Female,50,5,88379.81,3,0,1,64157.24
15605113,Sutherland,518,France,Female,27,1,133801.49,1,1,1,143315.57
15628904,Bowen,733,Spain,Male,35,8,102918.38,1,1,1,45959.86
15586821,Bellew,727,France,Male,28,5,0.0,2,0,1,19653.08
15637829,Sharpe,691,France,Female,34,7,0.0,2,0,1,161559.12
15648075,Hebert,686,Germany,Female,47,5,170935.94,1,1,0,173179.79
15654760,Su,811,France,Male,40,1,101514.89,1,1,1,121765.0
15796115,Forbes,689,Germany,Female,40,4,78119.59,4,1,0,119259.34
15812918,Scott,432,France,Female,27,6,62339.81,2,0,0,53874.67
15595282,White,735,France,Female,33,4,0.0,2,1,0,149474.69
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39
15625761,Maclean,632,Germany,Male,41,8,127205.32,4,1,0,93874.87
15632344,Jones,792,France,Female,42,0,99045.93,2,1,0,47160.01
15572767,Shelby,777,France,Male,29,2,0.0,2,1,0,124489.88
15696301,Snider,719,France,Female,37,9,101455.7,1,1,0,25803.59
15682928,Chiazagomekpere,695,Spain,Male,39,4,65521.2,1,1,1,1243.97
15776124,Mann,802,Spain,Male,51,7,0.0,1,0,1,40855.79
15594685,Hall,757,France,Female,49,2,0.0,2,0,0,164482.92
15688691,Lei,665,Germany,Female,51,9,110610.41,2,0,1,1112.76
15615032,Peng,624,Spain,Male,46,3,0.0,2,1,1,62825.03
15754820,Bergamaschi,637,Germany,Male,35,8,147127.81,2,1,1,84760.7
15799422,Evans,535,France,Female,40,8,0.0,1,1,1,27689.77
15739248,Lin,727,France,Male,52,4,0.0,2,1,1,118429.02
15696637,Sung,571,France,Female,23,10,151097.28,1,0,1,17163.75
